#K,N,L(phi),L(u),L^2(phi),L^2(u),abs(L)(phi),abs(L)(u) 
12,9,1.758585382388777e-08,5.207213050084126e-08,16.97056274976979,119.21505916189346,17.823213862972136,57.38546654777424
12,10,1.156506922796705e-08,nan,16.970562749769527,119.21505916186557,17.82321386301822,57.38546654777527
12,11,1.6024915053756938e-08,nan,16.970562749769545,119.2150593055939,17.823213863018225,57.38546658656828
12,12,1.7933162036363417e-08,4.768786823243172e-08,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,13,1.631155559445907e-08,nan,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,14,1.6308136151278658e-08,3.214840093053356e-08,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,15,1.6311724706945787e-08,9.513260022241779e-08,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,16,1.9242204100958807e-08,nan,16.970562749769545,119.21505916186537,17.823213863018225,57.3854665477732
12,17,nan,5.05773411073278e-08,16.970562749769545,119.21505916186564,17.823213863018225,57.385466547776005
12,18,1.631262324896567e-08,nan,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,19,nan,6.173352157405679e-08,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
12,20,1.7937423451140772e-08,nan,16.970562749769545,119.21505916186558,17.823213863018225,57.385466547775316
13,2,nan,1.2009818269806486e-08,18.384765790032077,129.03041108123094,19.308859121640715,62.12178318979079
13,3,1.8126592491818557e-08,4.873987561390292e-08,18.384776287215693,129.1489726446553,19.30651576190859,62.167677073225285
13,4,nan,3.463310120030274e-08,18.384776299518794,129.1496451615793,19.307728930065508,62.166296550072786
13,5,2.0864169631363293e-08,7.877654015693211e-08,18.384776299799732,129.14964743672232,19.307735073664468,62.16631236864649
13,6,nan,8.987978654274294e-08,18.384776298258863,129.14964744531852,19.307737579217505,62.16630379371638
13,7,1.0205190218563135e-05,7.860816954505623e-08,18.38477630044745,129.1496474516453,19.307737595759818,62.16630376812793
